atl,hawks,ATLANTA HAWKS
bkn,nets,BROOKLYN NETS
bos,celtics,BOSTON CELTICS
cha,hornets,CHARLOTTE HORNETS
chi,bulls,CHICAGO BULLS
cle,cavaliers,CLEVELAND CAVALIERS
dal,mavericks,DALLAS MAVERICKS
den,nuggets,DENVER NUGGETS
det,pistons,DETROIT PISTONS
gsw,warriors,GOLDEN STATE WARRIORS
hou,rockets,HOUSTON ROCKETS
ind,pacers,INDIANA PACERS
lac,clippers,LOS ANGELES CLIPPERS
lal,lakers,LOS ANGELES LAKERS
mem,grizzlies',MEMPHIS GRIZZLIES
mia,heat,MIAMI HEAT
mil,bucks,MILWAUKEE BUCKS
min,timberwolves,MINNESOTA TIMBERWOLVES
nop,pelicans,NEW ORLEANS PELICANS
nyk,knicks,NEW YORK KNICKS
okc,thunder,OKLAHOMA CITY THUNDER
orl,magic,ORLANDO MAGIC
phi,76ers,PHILADELPHIA 76ERS
phx,suns,PHOENIX SUNS
por,blazers,PORTLAND TRAIL BLAZERS
sac,kings,SACRAMENTO KINGS
sas,spurs,SAN ANTONIO SPURS
tor,raptors,TORONTO RAPTORS
uta,jazz,UTAH JAZZ
was,wizards,WASHINGTON WIZARDS
